,name,album,year,dance,acoustic,energy,instrumental,liveness,loudness,speech,tempo,valence,popularity
0,Virginia Beach,For All The Dogs Scary Hours Edition,2023,0.402,0.106,0.514,0.0,0.181,-7.322,0.0471,120.009,0.2,72
1,Amen (feat. Teezo Touchdown),For All The Dogs Scary Hours Edition,2023,0.646,0.0636,0.605,0.0,0.253,-7.59,0.188,90.156,0.309,68
2,Calling For You (feat. 21 Savage),For All The Dogs Scary Hours Edition,2023,0.571,0.0548,0.55,0.0,0.179,-6.567,0.106,120.947,0.104,69
3,Fear Of Heights,For All The Dogs Scary Hours Edition,2023,0.697,0.0127,0.32,0.0,0.18,-9.347,0.214,136.976,0.0658,68
4,Daylight,For All The Dogs Scary Hours Edition,2023,0.566,0.0149,0.564,0.0,0.104,-7.88,0.277,139.92,0.0667,67
5,First Person Shooter (feat. J. Cole),For All The Dogs Scary Hours Edition,2023,0.475,0.0306,0.655,0.0,0.375,-7.342,0.33,163.997,0.245,70
6,IDGAF (feat. Yeat),For All The Dogs Scary Hours Edition,2023,0.673,0.0466,0.672,0.000284,0.193,-8.577,0.224,136.902,0.14,68
7,7969 Santa,For All The Dogs Scary Hours Edition,2023,0.487,0.554,0.49,0.0,0.126,-9.373,0.0649,141.389,0.325,67
8,Slime You Out (feat. SZA),For All The Dogs Scary Hours Edition,2023,0.483,0.508,0.408,0.0,0.259,-9.243,0.0502,88.88,0.105,66
9,Bahamas Promises,For All The Dogs Scary Hours Edition,2023,0.626,0.85,0.309,1.31e-05,0.117,-10.397,0.0433,117.94,0.369,66
10,Tried Our Best,For All The Dogs Scary Hours Edition,2023,0.57,0.837,0.295,0.0,0.167,-13.693,0.0445,84.139,0.231,66
11,Screw The World - Interlude,For All The Dogs Scary Hours Edition,2023,0.823,0.0644,0.642,0.714,0.105,-5.922,0.258,146.781,0.629,63
12,Drew A Picasso,For All The Dogs Scary Hours Edition,2023,0.709,0.334,0.377,0.0,0.176,-11.327,0.219,127.921,0.147,65
13,Members Only (feat. PARTYNEXTDOOR),For All The Dogs Scary Hours Edition,2023,0.647,0.245,0.34,0.0,0.107,-8.795,0.0496,91.998,0.176,65
14,What Would Pluto Do,For All The Dogs Scary Hours Edition,2023,0.832,0.0506,0.555,0.0,0.213,-7.766,0.116,95.618,0.473,65
15,All The Parties (feat. Chief Keef),For All The Dogs Scary Hours Edition,2023,0.572,0.543,0.406,0.0,0.0982,-10.081,0.308,125.019,0.226,65
16,8am in Charlotte,For All The Dogs Scary Hours Edition,2023,0.567,0.643,0.682,0.0,0.512,-6.423,0.274,79.043,0.668,66
17,BBL Love - Interlude,For All The Dogs Scary Hours Edition,2023,0.502,0.845,0.391,0.0,0.112,-9.013,0.0428,132.819,0.574,63
18,Gently (feat. Bad Bunny),For All The Dogs Scary Hours Edition,2023,0.868,0.0481,0.452,0.000182,0.133,-6.825,0.304,107.538,0.241,64
19,Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs Scary Hours Edition,2023,0.636,0.0458,0.729,0.0,0.384,-4.495,0.055,146.009,0.141,65
20,Another Late Night (feat. Lil Yachty),For All The Dogs Scary Hours Edition,2023,0.702,0.0144,0.71,0.0,0.144,-5.003,0.0459,158.129,0.282,65
21,Away From Home,For All The Dogs Scary Hours Edition,2023,0.848,0.0195,0.625,0.0,0.109,-7.64,0.0587,93.019,0.226,65
22,Polar Opposites,For All The Dogs Scary Hours Edition,2023,0.44,0.0924,0.274,3.37e-06,0.128,-14.464,0.0809,76.513,0.343,65
23,Red Button,For All The Dogs Scary Hours Edition,2023,0.455,0.155,0.707,0.0,0.132,-5.765,0.179,114.47,0.393,75
24,Stories About My Brother,For All The Dogs Scary Hours Edition,2023,0.65,0.572,0.839,7.12e-05,0.219,-4.428,0.18,87.39,0.846,75
25,The Shoe Fits,For All The Dogs Scary Hours Edition,2023,0.354,0.291,0.79,0.0,0.309,-6.758,0.329,74.179,0.652,76
26,Wick Man,For All The Dogs Scary Hours Edition,2023,0.476,0.353,0.926,0.0,0.224,-6.623,0.48,86.252,0.52,72
27,Evil Ways (feat. J. Cole),For All The Dogs Scary Hours Edition,2023,0.56,0.0508,0.784,0.0,0.221,-5.304,0.301,78.161,0.25,79
28,You Broke My Heart,For All The Dogs Scary Hours Edition,2023,0.465,0.203,0.7,0.0,0.299,-5.163,0.0893,120.854,0.276,84
29,Virginia Beach,For All The Dogs,2023,0.402,0.106,0.514,0.0,0.181,-7.322,0.0471,120.009,0.2,85
30,Amen (feat. Teezo Touchdown),For All The Dogs,2023,0.646,0.0636,0.605,0.0,0.253,-7.59,0.188,90.156,0.309,77
31,Calling For You (feat. 21 Savage),For All The Dogs,2023,0.571,0.0548,0.55,0.0,0.179,-6.567,0.106,120.947,0.104,79
32,Fear Of Heights,For All The Dogs,2023,0.581,0.0128,0.325,0.0,0.16,-9.238,0.22,136.934,0.0666,78
33,Daylight,For All The Dogs,2023,0.566,0.0149,0.564,0.0,0.104,-7.88,0.277,139.92,0.0667,79
