,name,album,year,dance,acoustic,energy,instrumental,liveness,loudness,speech,tempo,valence,popularity
0,Rich Flex,Her Loss,2022,0.561,0.0503,0.52,1.86e-06,0.355,-9.342,0.244,153.15,0.424,87
1,Falling Back,"Honestly, Nevermind",2022,0.718,0.238,0.758,0.00653,0.11,-8.29,0.0703,118.989,0.349,63
2,Currents,"Honestly, Nevermind",2022,0.883,0.104,0.283,0.00167,0.0935,-12.653,0.113,122.013,0.416,64
3,Calling My Name,"Honestly, Nevermind",2022,0.826,0.62,0.276,8.53e-05,0.118,-11.227,0.266,123.985,0.484,63
4,Massive,"Honestly, Nevermind",2022,0.499,0.114,0.671,0.0169,0.148,-6.774,0.0561,124.994,0.0557,72
5,Flight's Booked,"Honestly, Nevermind",2022,0.593,0.886,0.41,0.0993,0.115,-13.097,0.0531,122.584,0.201,68
6,Girls Want Girls (with Lil Baby),Certified Lover Boy,2021,0.767,0.181,0.438,0.0,0.142,-8.726,0.29,86.975,0.381,78
7,Way 2 Sexy (with Future & Young Thug),Certified Lover Boy,2021,0.803,0.000619,0.597,4.5e-06,0.323,-6.035,0.141,136.008,0.331,78
8,Toosie Slide,Dark Lane Demo Tapes,2020,0.83,0.289,0.49,3.04e-06,0.113,-8.82,0.209,81.604,0.845,71
9,Pain 1993 (with Playboi Carti),Dark Lane Demo Tapes,2020,0.825,0.163,0.373,0.0,0.368,-5.532,0.108,77.271,0.12,80
10,Jaded,Scorpion,2018,0.764,0.037,0.271,0.0,0.175,-5.697,0.0414,116.019,0.0371,72
11,Ratchet Happy Birthday,Scorpion,2018,0.657,0.11,0.571,0.00123,0.0735,-12.519,0.139,167.958,0.622,56
12,In My Feelings,Scorpion,2018,0.835,0.0589,0.626,6e-05,0.396,-5.833,0.125,91.03,0.35,77
13,Teenage Fever,More Life,2017,0.766,0.111,0.283,0.0172,0.115,-10.33,0.0846,97.04,0.144,84
14,Childs Play,Views,2016,0.746,0.0175,0.475,1.1e-05,0.197,-11.243,0.113,80.006,0.292,71
15,Jungle,If You're Reading This It's Too Late,2015,0.697,0.62,0.235,0.000144,0.107,-8.651,0.0534,99.947,0.378,78
16,From Time,Nothing Was The Same (Deluxe),2013,0.738,0.626,0.491,0.0,0.126,-9.726,0.413,94.378,0.448,59
17,"Hold On, We're Going Home",Nothing Was The Same (Deluxe),2013,0.776,0.00415,0.413,2.68e-05,0.0724,-7.438,0.0952,100.003,0.287,61
18,Shot For Me,Take Care (Deluxe),2011,0.566,0.0555,0.465,0.0,0.567,-11.714,0.235,143.015,0.177,73
19,Take Care,Take Care (Deluxe),2011,0.629,0.0267,0.515,1.22e-05,0.0888,-10.358,0.265,121.845,0.299,79
20,Feel No Ways,Views,2016,0.582,0.0312,0.677,6.6e-06,0.122,-7.081,0.172,193.818,0.205,78
21,Sticky,"Honestly, Nevermind",2022,0.853,0.0917,0.495,0.000217,0.0844,-14.63,0.14,137.027,0.0774,77
22,Crew Love,Take Care (Deluxe),2011,0.418,0.227,0.546,0.0,0.229,-9.057,0.238,160.152,0.294,74
23,Privileged Rappers,Her Loss,2022,0.934,0.00274,0.614,0.0,0.123,-7.384,0.198,144.045,0.616,76
24,Hotline Bling,Views,2016,0.891,0.00258,0.628,0.00019,0.0504,-7.863,0.0551,134.966,0.552,81
25,Marvins Room,Take Care (Deluxe),2011,0.492,0.646,0.26,0.00178,0.0705,-17.341,0.0921,111.519,0.312,78
26,WAIT FOR U (feat. Drake & Tems),I NEVER LIKED YOU,2022,0.463,0.314,0.642,0.0,0.0686,-4.474,0.34,83.389,0.339,86
27,Texts Go Green,"Honestly, Nevermind",2022,0.765,0.000916,0.627,0.195,0.0847,-4.607,0.0622,118.997,0.536,57
28,Spin Bout U,Her Loss,2022,0.773,0.01,0.701,0.0,0.163,-6.386,0.0512,129.963,0.203,83
29,Passionfruit,More Life,2017,0.809,0.256,0.463,0.085,0.109,-11.377,0.0396,111.98,0.364,86
30,Nice For What,Scorpion,2018,0.585,0.0891,0.909,9.7e-05,0.119,-6.474,0.0707,93.372,0.758,81
31,God's Plan,Scorpion,2018,0.754,0.0332,0.449,8.29e-05,0.552,-9.211,0.109,77.169,0.357,86
32,Headlines,Take Care (Deluxe),2011,0.636,0.365,0.566,0.000353,0.0917,-7.16,0.106,151.894,0.425,81
33,A Keeper,"Honestly, Nevermind",2022,0.6,0.512,0.482,0.000104,0.115,-11.596,0.0701,121.909,0.323,68
34,Best I Ever Had,So Far Gone,2009,0.395,0.19,0.922,0.0,0.134,-2.176,0.375,162.361,0.558,80
35,Liability,"Honestly, Nevermind",2022,0.557,0.268,0.706,0.0,0.132,-6.592,0.0649,105.013,0.582,62
36,Do Not Disturb,More Life,2017,0.618,0.246,0.693,0.0,0.112,-5.943,0.45,170.982,0.454,79
37,Little Bit (feat. Lykke Li),So Far Gone,2009,0.758,0.0999,0.888,0.0336,0.661,-4.899,0.0374,120.392,0.771,73
38,Find Your Love,Thank Me Later,2010,0.627,0.0211,0.614,0.0,0.0286,-6.006,0.17,96.038,0.758,69
39,TSU,Certified Lover Boy,2021,0.568,0.228,0.56,3.05e-06,0.39,-9.059,0.42,130.019,0.246,75
40,Search & Rescue,Search & Rescue,2023,0.817,0.0603,0.44,1.42e-06,0.33,-8.482,0.0734,142.024,0.544,83
41,IDGAF (feat. Yeat),For All The Dogs,2023,0.663,0.0464,0.67,8.92e-05,0.205,-8.399,0.271,136.952,0.138,93
